1,0,2,2,2,0,3.5,Relevante,Relevante
0,0,0,2,2,0,2,PoucoRelevante,PoucoRelevante
0,0,1,2,2,0,2.5,PoucoRelevante,PoucoRelevante
2,1,1,2,0,0,3,Relevante,Relevante
2,2,2,2,2,2,6,MuitoRelevante,MuitoRelevante
1,2,1,2,0,2,4,Relevante,Relevante
2,2,2,2,2,2,6,MuitoRelevante,MuitoRelevante
2,2,2,1,0,2,4.5,Relevante,Relevante
0,1,0,1,0,0,1,PoucoRelevante,PoucoRelevante
2,1,1,2,2,2,5,MuitoRelevante,MuitoRelevante
1,2,1,1,2,2,4.5,Relevante,Relevante
0,0,1,0,2,1,2,PoucoRelevante,PoucoRelevante
1,2,2,2,2,2,4,Relevante,Relevante
2,2,2,2,2,2,6,MuitoRelevante,MuitoRelevante
1,2,2,2,2,2,5.5,MuitoRelevante,MuitoRelevante
1,0,1,1,0,1,2,PoucoRelevante,PoucoRelevante
0,0,1,1,0,1,1.5,PoucoRelevante,PoucoRelevante
0,0,0,2,2,1,2.5,PoucoRelevante,PoucoRelevante
2,2,2,2,2,2,6,MuitoRelevante,MuitoRelevante
2,2,1,1,0,2,4,Relevante,Relevante
